,Head_w,Head_h,Torso_w,Torso_h,RUpperArm_w,RUpperArm_h,RLowerArm_w,RLowerArm_h,LUpperArm_w,LUpperArm_h,LLowerArm_w,LLowerArm_h,RThigh_w,RThigh_h,RCalf_w,RCalf_h,LThigh_w,LThigh_h,LCalf_w,LCalf_h
Amedeo Modigliani,37,60,56,101,51,16,42,15,51,16,42,15,40,56,34,45,40,56,34,45
Felix Vallotton,45,59,66,117,85,30,63,21,85,30,63,21,44,88,28,71,44,88,28,71
Paul Delvaux,43,60,67,138,60,20,51,20,60,20,51,20,37,87,24,70,37,87,24,70
Paul Gauguin,43,60,68,125,64,26,55,22,64,26,55,22,43,80,34,72,43,80,34,72
Tamara de Lempicka,44,60,71,127,75,25,81,26,75,25,81,26,49,93,38,74,49,93,38,74
Artemisia Gentileschi,45,60,65,109,70,25,55,23,70,25,55,23,32,58,21,47,32,58,21,47
El Greco,41,60,71,143,67,29,54,25,67,29,54,25,29,74,32,73,29,74,32,73
Michelangelo,47,60,85,125,84,42,78,32,84,42,78,32,54,94,41,80,54,94,41,80
Pierre-Auguste Renoir,63,60,58,89,59,29,48,24,59,29,48,24,42,80,30,71,42,80,30,71
Pierre-Paul Prud'hon,45,60,65,130,67,36,50,20,67,36,50,20,35,88,28,85,35,88,28,85
